iter	MultiClass
0	1.051950302
1	1.011417953
2	0.9758072112
3	0.9442388811
4	0.9160509201
5	0.8907310031
6	0.8678736924
7	0.8471520948
8	0.8282984517
9	0.8110904583
10	0.795341378
11	0.7808927453
12	0.7676088763
13	0.7557892801
14	0.7439528064
15	0.7330469781
16	0.7228117122
17	0.7134285158
18	0.7047850822
19	0.6961490707
20	0.6882531248
21	0.6802542764
22	0.6729304969
23	0.6662721092
24	0.6595648775
25	0.6536844787
26	0.6480690632
27	0.6427081306
28	0.6372949355
29	0.6325276531
30	0.6275861938
31	0.6229495413
32	0.6184122092
33	0.6143649781
34	0.6105580587
35	0.6066377535
36	0.6030990493
37	0.600058086
38	0.596782772
39	0.5935340896
40	0.5910164631
41	0.5881683493
42	0.5844412746
43	0.5818938647
44	0.5788618348
45	0.5760717031
46	0.5735311723
47	0.5698912225
48	0.5670801879
49	0.5649043812
50	0.5626243638
51	0.5594104838
52	0.556332826
53	0.5536595544
54	0.5508646021
55	0.5482440137
56	0.5459465609
57	0.5432154871
58	0.5406658141
59	0.539085911
60	0.5369938989
61	0.5354820472
62	0.5338768139
63	0.5313894828
64	0.5291025706
65	0.5272522505
66	0.5250246966
67	0.5230265827
68	0.5217162478
69	0.5192811559
70	0.517371155
71	0.5150013205
72	0.5129137461
73	0.5115178663
74	0.5097993381
75	0.5085709283
76	0.5064841419
77	0.5047911511
78	0.5029209314
79	0.5016748272
80	0.5004729959
81	0.4990228787
82	0.4981454449
83	0.4968428069
84	0.4958938433
85	0.4945129135
86	0.4936267052
87	0.4926213842
88	0.4913672245
89	0.4904112225
90	0.4889760987
91	0.4880266566
92	0.4874416206
93	0.4858265443
94	0.484936391
95	0.4840780488
96	0.4832853771
97	0.4819720476
98	0.4813777028
99	0.4799381986
100	0.4790632484
101	0.4783617318
102	0.4771897585
103	0.4759384996
104	0.4747572775
105	0.4734336791
106	0.4727618476
107	0.471653626
108	0.4704083601
109	0.4691817864
110	0.4679553693
111	0.4673022777
112	0.4661565704
113	0.465505093
114	0.4644323885
115	0.4638555816
116	0.4631633571
117	0.4616346578
118	0.4608208478
119	0.4594000736
120	0.458842681
121	0.4578520837
122	0.4571931339
123	0.456268508
124	0.4558059428
125	0.4547731127
126	0.4542344496
127	0.4538513003
128	0.4533401667
129	0.4522583562
130	0.4518473617
131	0.4508404659
132	0.4499660446
133	0.4492782883
134	0.4485269661
135	0.4479745796
136	0.4475402322
137	0.4467805349
138	0.4463859058
139	0.4458881846
140	0.4451122495
141	0.444185905
142	0.4434457631
143	0.4427155392
144	0.4423662093
145	0.4419970339
146	0.4412007312
147	0.4408418322
148	0.4405105636
149	0.4401296752
150	0.4398439876
151	0.4392337026
152	0.4389847456
153	0.4381323401
154	0.4377309264
155	0.4374080026
156	0.4366817556
157	0.4364647592
158	0.4360042518
159	0.4355316076
160	0.4347901356
161	0.4345330139
162	0.4338989779
163	0.4336427119
164	0.4333488033
165	0.4331239656
166	0.4328315623
167	0.4325078848
168	0.4322487286
169	0.4320759812
170	0.4318143846
171	0.4314565109
172	0.4311526887
173	0.430917848
174	0.430701025
175	0.4304560872
176	0.4298658751
177	0.4296996366
178	0.42937224
179	0.4290695893
180	0.4281639658
181	0.4278409119
182	0.4275872131
183	0.4272924844
184	0.4271676795
185	0.4269693256
186	0.4264155051
187	0.4259662269
188	0.4258132972
189	0.4256910895
190	0.4254220462
191	0.4250235647
192	0.4248243285
193	0.4240380272
194	0.4237553316
195	0.4235695666
196	0.4229688503
197	0.4228247612
198	0.4222939775
199	0.4216200306
