iter	Passed	Remaining
0	164	32755
1	185	18363
2	205	13491
3	225	11065
4	245	9579
5	264	8563
6	284	7847
7	303	7289
8	322	6853
9	341	6496
10	361	6207
11	380	5968
12	400	5758
13	420	5581
14	439	5422
15	458	5276
16	477	5143
17	497	5027
18	516	4921
19	534	4809
20	552	4710
21	572	4631
22	591	4553
23	611	4483
24	629	4408
25	647	4335
26	667	4275
27	686	4218
28	705	4162
29	725	4111
30	744	4058
31	762	4005
32	782	3962
33	801	3913
34	820	3867
35	838	3819
36	857	3776
37	878	3744
38	897	3703
39	915	3663
40	935	3626
41	953	3585
42	970	3545
43	988	3506
44	1008	3473
45	1028	3442
46	1046	3407
47	1065	3374
48	1083	3338
49	1102	3306
50	1122	3280
51	1141	3249
52	1162	3222
53	1180	3193
54	1201	3166
55	1219	3136
56	1238	3106
57	1256	3077
58	1277	3051
59	1297	3027
60	1315	2996
61	1333	2967
62	1352	2940
63	1370	2912
64	1389	2885
65	1407	2858
66	1427	2832
67	1445	2806
68	1463	2778
69	1482	2754
70	1503	2731
71	1522	2707
72	1541	2682
73	1560	2657
74	1579	2631
75	1597	2606
76	1618	2585
77	1636	2560
78	1656	2536
79	1674	2511
80	1693	2487
81	1711	2463
82	1729	2438
83	1749	2415
84	1768	2393
85	1788	2370
86	1807	2347
87	1825	2323
88	1844	2300
89	1863	2277
90	1881	2253
91	1899	2230
92	1917	2206
93	1937	2185
94	1956	2162
95	1976	2140
96	1993	2116
97	2011	2093
98	2029	2070
99	2049	2049
100	2070	2029
101	2087	2006
102	2106	1983
103	2124	1961
104	2144	1940
105	2163	1918
106	2181	1896
107	2200	1874
108	2218	1852
109	2236	1830
110	2256	1809
111	2275	1787
112	2296	1768
113	2315	1747
114	2336	1726
115	2354	1705
116	2374	1684
117	2393	1662
118	2411	1641
119	2431	1620
120	2449	1599
121	2469	1578
122	2486	1556
123	2505	1535
124	2522	1513
125	2541	1492
126	2561	1472
127	2578	1450
128	2595	1428
129	2614	1407
130	2634	1387
131	2653	1366
132	2671	1345
133	2690	1325
134	2710	1304
135	2729	1284
136	2747	1263
137	2768	1243
138	2787	1223
139	2805	1202
140	2824	1181
141	2843	1161
142	2862	1140
143	2881	1120
144	2898	1099
145	2917	1079
146	2938	1059
147	2955	1038
148	2973	1017
149	2993	997
150	3010	977
151	3032	957
152	3048	936
153	3067	916
154	3085	895
155	3103	875
156	3123	855
157	3142	835
158	3162	815
159	3179	794
160	3197	774
161	3216	754
162	3236	734
163	3255	714
164	3275	694
165	3296	675
166	3314	654
167	3332	634
168	3349	614
169	3367	594
170	3385	574
171	3405	554
172	3424	534
173	3442	514
174	3462	494
175	3479	474
176	3499	454
177	3519	434
178	3538	415
179	3557	395
180	3577	375
181	3595	355
182	3613	335
183	3630	315
184	3647	295
185	3667	276
186	3686	256
187	3703	236
188	3722	216
189	3738	196
190	3758	177
191	3778	157
192	3795	137
193	3815	117
194	3834	98
195	3853	78
196	3871	58
197	3890	39
198	3909	19
199	3929	0
