Gender,Age,Educational_Level,Income,Adults,Children,Babies,Visted_Previously,Previous_Cancellations,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Ethnicity_African American,Ethnicity_Asian American,Ethnicity_Latino,Ethnicity_caucasian,Country_East,Country_North,Country_South,Country_West,Hotel_Airport Hotels,Hotel_City Hotel,Hotel_Resort,Meal_BB,Meal_FB,Meal_HB,Deposit_No Deposit,Deposit_Non-Refundable,Deposit_Refundable,Channel_Agent,Channel_Direct,Channel_Online,Checkin_Year,Checkin_Month,Checkin_Weekday,Checkout_Year,Checkout_Month,Checkout_Weekday,Booking_Year,Booking_Month,Booking_Weekday,Stay_Duration
1,40,1,0,4,2,0,0,0,1,1,1,0,106.4402413613308,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,2,2015,7,3,2015,5,3,1
0,49,1,2,1,3,0,0,0,1,1,0,0,158.03956402373012,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2015,7,2,2015,7,3,2015,5,1,1
0,42,2,0,1,3,0,0,0,1,1,0,0,212.6107804470045,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,7,3,2015,7,0,2015,6,0,4
1,25,1,3,3,3,0,0,0,1,1,1,5,106.14640728970126,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,2015,7,3,2015,7,4,2015,6,5,1
0,62,3,1,1,1,0,0,0,0,1,1,10,159.384439168802,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2015,7,4,2015,7,5,2015,6,5,1
1,34,2,3,1,2,2,1,0,0,1,1,25,199.50068895251417,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,4,2015,7,5,2015,6,5,1
1,53,3,0,2,1,0,1,1,1,1,1,10,188.5449854911072,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,2015,7,4,2015,7,5,2015,7,5,1
0,40,2,3,1,1,0,0,0,1,1,0,10,140.7288105705952,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2015,7,4,2015,7,5,2015,6,3,1
1,59,2,3,4,2,1,0,0,1,1,1,10,153.57023145033426,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,2015,5,2,2015,5,3,2015,2,2,1
0,21,2,2,2,3,0,1,0,0,1,1,20,212.0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,2015,4,2,2015,4,5,2015,2,0,3
